Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-03-03 - WSH 2, BOS 1",BOS,2.0,55.0,58.9,40.7,46.0,3.0,2.9,11.7,11.6,2.0,1.5,9.1,8.4,23.5,27.4,0.2,0.5,10.8,13.4,15.6,15.8,0.8,0.8,6.4,8.4,0.9893999999999998,28.4,27.3,27.4,31.7,2.632,2.724
"2021-03-05 - WSH 1, BOS 5",BOS,1.0,55.5,56.7,41.6,44.4,2.8,2.6,11.8,10.7,2.0,1.2,9.5,7.5,23.9,26.1,0.2,0.5,11.2,12.8,16.1,16.3,0.6,0.8,6.3,8.5,0.9916999999999998,28.7,27.9,27.0,30.1,2.6870000000000003,2.577
"2021-03-07 - NJ 1, BOS 0",BOS,1.0,54.6,55.9,41.3,44.3,2.8,2.9,11.7,11.2,1.9,1.3,9.8,8.0,23.5,24.9,0.2,0.5,11.3,12.3,15.8,16.1,0.7,1.0,6.6,8.4,1.0040999999999998,29.5,27.5,27.3,30.3,2.713,2.5780000000000003
"2021-03-09 - BOS 1, NYI 2",BOS,1.0,54.1,55.8,40.5,44.6,2.7,2.6,11.5,10.5,1.8,1.0,9.1,7.7,23.3,25.5,0.2,0.5,10.9,13.1,16.0,16.3,0.7,1.0,6.6,8.5,0.9964,28.5,27.5,26.8,31.1,2.579,2.483
"2021-03-11 - NYR 0, BOS 4",BOS,1.0,54.1,55.9,40.6,44.3,2.8,2.6,11.7,10.2,1.8,0.9,9.3,7.6,22.9,24.9,0.2,0.6,11.0,12.7,16.5,17.7,0.8,1.0,7.2,9.4,0.9924000000000002,29.1,28.2,27.9,31.4,2.5970000000000004,2.336
"2021-03-13 - NYR 4, BOS 0",BOS,1.0,53.5,54.0,39.8,43.1,2.4,2.8,10.6,9.7,1.5,1.0,8.1,7.2,24.3,23.9,0.1,0.8,11.3,12.5,16.0,17.1,0.8,0.9,6.9,9.4,1.0101,27.6,26.6,26.8,31.1,2.432,2.238
"2021-03-15 - BOS 1, PIT 4",BOS,1.0,54.7,52.9,41.1,42.0,2.5,2.6,11.0,8.9,1.5,0.9,8.5,6.4,24.5,24.7,0.2,0.7,11.1,12.7,16.1,16.2,0.8,0.9,7.0,8.9,1.0021,28.3,27.1,25.1,30.2,2.553,2.143
"2021-03-16 - BOS 2, PIT 1",BOS,0.0,54.2,53.5,40.7,42.3,2.6,2.0,10.9,8.0,1.4,0.8,8.4,5.9,23.6,26.3,0.4,0.7,11.9,13.9,16.2,16.4,0.8,0.4,6.9,9.3,0.9848,29.0,27.1,24.4,31.0,2.615,2.099
"2021-03-18 - BOS 4, BUF 1",BOS,1.0,53.0,53.9,40.3,42.1,2.0,2.0,10.6,7.5,0.8,0.8,8.0,5.6,23.4,27.5,0.4,0.7,12.1,14.5,15.5,16.0,0.8,0.4,6.8,8.7,1.0013999999999998,28.8,26.1,23.5,30.7,2.521,2.044
"2021-03-25 - NYI 4, BOS 3",BOS,6.0,51.2,53.1,38.9,41.8,1.5,2.2,9.8,6.7,0.5,0.9,7.2,5.5,23.1,27.6,0.4,0.8,12.5,14.7,15.3,16.0,0.6,0.4,6.5,9.1,1.0196,27.8,25.1,22.7,31.1,2.368,1.997
"2021-03-27 - BUF 2, BOS 3",BOS,1.0,50.4,53.0,38.8,41.6,1.8,2.1,9.9,6.2,0.7,0.8,7.4,5.1,22.5,27.1,0.5,0.9,12.2,14.4,15.2,17.3,0.6,0.4,7.2,9.7,1.0079,28.4,25.1,23.5,30.7,2.401,1.967
