Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2024-01-18 - NYR 1, VGK 5",NYR,69,46,48,30,30,26,1,5,2.56,3.02,32,23,10,13,4,11,0,5,22,10,10,4,1,0,45,25,14,10,0,0,0.841
"2024-01-18 - NYR 1, VGK 5",VGK,46,69,30,48,26,30,5,1,3.02,2.56,23,32,13,10,11,4,5,0,10,22,4,10,0,1,25,45,10,14,0,0,1.159
"2024-01-19 - DET 2, CAR 4",CAR,64,32,45,22,30,12,4,2,2.84,0.8,23,11,5,2,3,1,2,0,18,9,7,2,1,2,50,21,18,6,1,0,0.967
"2024-01-19 - DET 2, CAR 4",DET,32,64,22,45,12,30,2,4,0.8,2.84,11,23,2,5,1,3,0,2,9,18,2,7,2,1,21,50,6,18,0,1,1.033
"2024-01-19 - NJ 4, CBJ 1",CBJ,70,66,49,44,30,32,1,4,2.91,2.91,32,32,12,12,8,9,0,1,20,20,6,5,1,1,39,38,14,15,0,2,0.908
"2024-01-19 - NJ 4, CBJ 1",NJ,66,70,44,49,32,30,4,1,2.91,2.91,32,32,12,12,9,8,1,0,20,20,5,6,1,1,38,39,15,14,2,0,1.092
"2024-01-19 - MIN 6, FLA 4",FLA,90,47,57,38,35,26,4,6,3.49,3.15,38,19,12,9,7,6,2,1,26,10,8,4,0,1,56,29,18,12,2,3,0.884
"2024-01-19 - MIN 6, FLA 4",MIN,47,90,38,57,26,35,6,4,3.15,3.49,19,38,9,12,6,7,1,2,10,26,4,8,1,0,29,56,12,18,3,2,1.116
"2024-01-19 - NYI 3, CHI 4",CHI,55,73,34,47,24,29,4,3,1.72,2.75,24,39,9,11,5,7,2,1,15,28,7,14,1,2,35,34,10,7,1,0,1.063
"2024-01-19 - NYI 3, CHI 4",NYI,73,55,47,34,29,24,3,4,2.75,1.72,39,24,11,9,7,5,1,2,28,15,14,7,2,1,34,35,7,10,0,1,0.937
"2024-01-20 - TB 3, BUF 1",BUF,55,43,42,32,27,16,1,3,1.85,3.47,17,21,7,7,7,3,1,0,10,14,6,8,0,2,47,20,12,4,0,0,0.85
"2024-01-20 - TB 3, BUF 1",TB,43,55,32,42,16,27,3,1,3.47,1.85,21,17,7,7,3,7,0,1,14,10,8,6,2,0,20,47,4,12,0,0,1.15
"2024-01-20 - COL 7, PHI 4",COL,46,86,32,54,25,40,7,4,3.26,3.3,22,35,10,16,6,10,4,2,12,19,7,8,2,1,19,49,8,20,1,1,1.18
"2024-01-20 - COL 7, PHI 4",PHI,86,46,54,32,40,25,4,7,3.3,3.26,35,22,16,10,10,6,2,4,19,12,8,7,1,2,49,19,20,8,1,1,0.82
"2024-01-20 - NSH 2, ARI 3",ARI,59,72,45,54,24,32,3,2,3.09,3.81,29,32,11,17,5,10,2,1,18,15,6,9,1,0,31,45,11,11,0,1,1.063
"2024-01-20 - NSH 2, ARI 3",NSH,72,59,54,45,32,24,2,3,3.81,3.09,32,29,17,11,10,5,1,2,15,18,9,6,0,1,45,31,11,11,1,0,0.938
