Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2021-04-27 - BOS 3, PIT 1",BOS,48,52,41,31,31,26,3,1,2.91,1.94,22,24,9,4,8,4,1,0,13,20,7,9,2,1,22,22,13,11,0,0,1.058
"2021-04-27 - BOS 3, PIT 1",PIT,52,48,31,41,26,31,1,3,1.94,2.91,24,22,4,9,4,8,0,1,20,13,9,7,1,2,22,22,11,13,0,0,0.942
"2021-04-27 - DET 0, CBJ 1",CBJ,70,55,54,49,33,41,0,0,3.79,3.92,39,29,17,16,10,13,0,0,22,13,10,7,0,0,25,19,13,16,0,0,1.0
"2021-04-27 - DET 0, CBJ 1",DET,55,70,49,54,41,33,0,0,3.92,3.79,29,39,16,17,13,10,0,0,13,22,7,10,0,0,19,25,16,13,0,0,1.0
"2021-04-27 - TB 7, CHI 4",CHI,60,46,42,37,40,30,4,7,3.25,3.58,25,32,12,19,11,17,0,5,13,13,8,8,2,1,32,14,21,5,2,1,0.867
"2021-04-27 - TB 7, CHI 4",TB,46,60,37,42,30,40,7,4,3.58,3.25,32,25,19,12,17,11,5,0,13,13,8,8,1,2,14,32,5,21,1,2,1.133
"2021-04-27 - FLA 7, NSH 4",FLA,80,37,67,33,56,30,7,4,4.81,2.29,46,22,16,12,12,9,1,2,30,10,18,9,4,1,31,14,25,11,2,1,0.992
"2021-04-27 - FLA 7, NSH 4",NSH,37,80,33,67,30,56,4,7,2.29,4.81,22,46,12,16,9,12,2,1,10,30,9,18,1,4,14,31,11,25,1,2,1.008
"2021-04-27 - CAR 5, DAL 1",CAR,61,51,44,38,30,28,5,1,3.04,2.0,30,24,14,10,10,9,4,1,16,14,11,5,1,0,27,24,7,13,0,0,1.131
"2021-04-27 - CAR 5, DAL 1",DAL,51,61,38,44,28,30,1,5,2.0,3.04,24,30,10,14,9,10,1,4,14,16,5,11,0,1,24,27,13,7,0,0,0.869
"2021-04-28 - TOR 4, MTL 1",MTL,60,46,40,37,33,29,1,4,1.85,1.73,32,19,6,9,5,8,0,2,26,10,10,7,0,1,22,20,14,10,1,1,0.892
"2021-04-28 - TOR 4, MTL 1",TOR,46,60,37,40,29,33,4,1,1.73,1.85,19,32,9,6,8,5,2,0,10,26,7,10,1,0,20,22,10,14,1,1,1.108
"2021-04-28 - VAN 3, OTT 6",OTT,64,44,49,32,33,22,6,3,4.08,1.28,34,13,13,8,10,3,3,0,21,5,11,3,1,1,24,26,9,16,1,2,1.045
"2021-04-28 - VAN 3, OTT 6",VAN,44,64,32,49,22,33,3,6,1.28,4.08,13,34,8,13,3,10,0,3,5,21,3,11,1,1,26,24,16,9,2,1,0.955
"2021-04-28 - EDM 3, WPG 1",EDM,55,53,35,40,27,30,3,1,3.46,2.56,34,28,12,9,11,6,1,0,22,19,10,9,1,1,14,20,6,13,1,0,1.078
"2021-04-28 - EDM 3, WPG 1",WPG,53,55,40,35,30,27,1,3,2.56,3.46,28,34,9,12,6,11,0,1,19,22,9,10,1,1,20,14,13,6,0,1,0.922
"2021-04-28 - STL 4, MIN 3",MIN,54,58,43,46,29,32,3,4,2.57,1.84,27,19,12,3,6,3,1,2,15,16,9,10,0,2,27,33,14,18,2,0,0.978
"2021-04-28 - STL 4, MIN 3",STL,58,54,46,43,32,29,4,3,1.84,2.57,19,27,3,12,3,6,2,1,16,15,10,9,2,0,33,27,18,14,0,2,1.022
"2021-04-28 - COL 2, VGK 5",COL,65,47,51,38,37,26,2,5,3.51,3.85,41,26,13,13,10,10,1,1,28,13,13,5,0,2,20,17,13,9,1,1,0.862
"2021-04-28 - COL 2, VGK 5",VGK,47,65,38,51,26,37,5,2,3.85,3.51,26,41,13,13,10,10,1,1,13,28,5,13,2,0,17,20,9,13,1,1,1.138
"2021-04-28 - ANA 3, LA 2",ANA,44,54,37,38,22,30,3,2,1.75,2.29,20,26,7,10,5,6,1,1,13,16,8,10,2,1,19,27,7,13,0,0,1.07
"2021-04-28 - ANA 3, LA 2",LA,54,44,38,37,30,22,2,3,2.29,1.75,26,20,10,7,6,5,1,1,16,13,10,8,1,2,27,19,13,7,0,0,0.93
"2021-04-28 - ARI 2, SJ 4",ARI,56,49,41,38,30,31,2,4,2.57,4.57,21,32,10,16,6,12,2,3,11,16,8,13,0,1,30,12,15,5,0,0,0.938
"2021-04-28 - ARI 2, SJ 4",SJ,49,56,38,41,31,30,4,2,4.57,2.57,32,21,16,10,12,6,3,2,16,11,13,8,1,0,12,30,5,15,0,0,1.062
"2021-04-29 - DAL 0, TB 3",DAL,43,43,27,35,20,28,0,3,1.21,2.17,27,19,5,7,3,4,0,1,22,12,9,7,0,1,16,21,8,16,0,0,0.893
