Game,GameInfo,Date_x,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,Date_y,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
"2024-01-23 - NYR 2, SJ 3","2024-01-23 - NYR, SJ",2024-01-23,NYR,2,SJ,3,Won,2024-01-23,NYR,-350.0,1.29,0.78,0.5083282633433088,0.4916717366566912,0.27,3.75,275.0,SJ
"2024-01-24 - ARI 2, FLA 6","2024-01-24 - ARI, FLA",2024-01-24,ARI,2,FLA,6,Won,2024-01-24,ARI,185.0,2.85,0.35,0.4196282690648223,0.5803717309351776,0.69,1.44,-225.0,FLA
"2024-01-24 - WPG 0, TOR 1","2024-01-24 - WPG, TOR",2024-01-24,WPG,0,TOR,1,Won,2024-01-24,WPG,105.0,2.05,0.49,0.4495534749841666,0.5504465250158334,0.56,1.77,-130.0,TOR
"2024-01-24 - CAR 3, BOS 2","2024-01-24 - CAR, BOS",2024-01-24,CAR,3,BOS,2,Lost,2024-01-24,CAR,110.0,2.1,0.48,0.5128898573330574,0.4871101426669423,0.57,1.74,-135.0,BOS
"2024-01-24 - WSH 2, COL 6","2024-01-24 - WSH, COL",2024-01-24,WSH,2,COL,6,Won,2024-01-24,WSH,200.0,3.0,0.33,0.4299542797398684,0.5700457202601316,0.71,1.4,-250.0,COL
"2024-01-24 - CHI 2, SEA 6","2024-01-24 - CHI, SEA",2024-01-24,CHI,2,SEA,6,Won,2024-01-24,CHI,240.0,3.4,0.29,0.446825685731348,0.5531743142686518,0.75,1.33,-300.0,SEA
"2024-01-24 - STL 4, VAN 3","2024-01-24 - STL, VAN",2024-01-24,STL,4,VAN,3,Lost,2024-01-24,STL,,,,0.4361261974511195,0.5638738025488805,0.69,1.44,-225.0,VAN
"2024-01-24 - BUF 5, LA 3","2024-01-24 - BUF, LA",2024-01-24,BUF,5,LA,3,Lost,2024-01-24,BUF,170.0,2.7,0.37,0.4749148945579651,0.5250851054420348,0.68,1.48,-210.0,LA
"2024-01-25 - NJ 2, CAR 3","2024-01-25 - NJ, CAR",2024-01-25,NJ,2,CAR,3,Won,2024-01-25,NJ,135.0,2.35,0.43,0.4302700639817896,0.5697299360182103,0.62,1.62,-160.0,CAR
"2024-01-25 - PHI 0, DET 3","2024-01-25 - PHI, DET",2024-01-25,PHI,0,DET,3,Won,2024-01-25,PHI,-105.0,1.95,0.51,0.4823024682782333,0.5176975317217668,0.53,1.87,-115.0,DET
