Game,Date_x,AwayTeam,Away Team Implied Probability,Away Probability,AwayScore,HomeTeam,Home Team Implied Probability,Home Probability,HomeScore,HomeResult,AwayBet,HomeBet,AwayBetWon,HomeBetWon,total_results,total_bets,total_return
"2023-12-19 - VGK 3, CAR 6",2023-12-19,VGK,0.48,0.4441076867086926,3,CAR,0.57,0.5558923132913075,6,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-19 - PHI 3, NJ 2",2023-12-19,PHI,0.42,0.4664764038478506,3,NJ,0.62,0.5335235961521493,2,Lost,1,0,1.0,0.0,1.0,1,2.380952380952381
"2023-12-19 - STL 1, TB 6",2023-12-19,STL,,0.4486061243380075,1,TB,0.64,0.5513938756619925,6,Won,0,0,0.0,1.0,0.0,0,
"2023-12-19 - NYR 5, TOR 2",2023-12-19,NYR,0.53,0.4690099482534431,5,TOR,0.51,0.5309900517465569,2,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-19 - EDM 1, NYI 3",2023-12-19,EDM,0.6,0.4894407726985008,1,NYI,0.44,0.5105592273014992,3,Won,0,1,0.0,1.0,1.0,1,2.272727272727273
"2023-12-19 - VAN 5, NSH 2",2023-12-19,VAN,0.49,0.4549232967104327,5,NSH,0.56,0.5450767032895671,2,Lost,0,0,1.0,0.0,0.0,0,0.0
"2023-12-19 - COL 2, CHI 3",2023-12-19,COL,0.69,0.5141810244548424,2,CHI,0.35,0.4858189755451575,3,Won,0,1,0.0,1.0,1.0,1,2.857142857142857
"2023-12-19 - OTT 3, ARI 4",2023-12-19,OTT,0.56,0.4889858594780162,3,ARI,0.49,0.5110141405219837,4,Won,0,1,0.0,1.0,1.0,1,2.0408163265306123
"2023-12-19 - LA 4, SJ 1",2023-12-19,LA,0.71,0.5158567853315439,4,SJ,0.33,0.4841432146684561,1,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-20 - DET 2, WPG 5",2023-12-20,DET,0.44,0.4229180281292717,2,WPG,0.61,0.5770819718707284,5,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-20 - NYI 2, WSH 3",2023-12-20,NYI,0.49,0.42595025126581,2,WSH,0.56,0.57404974873419,3,Won,0,1,0.0,1.0,1.0,1,1.7857142857142856
"2023-12-20 - SEA 2, LA 1",2023-12-20,SEA,0.42,0.4718290387928753,2,LA,0.62,0.5281709612071247,1,Lost,1,0,1.0,0.0,1.0,1,2.380952380952381
"2023-12-21 - TOR 3, BUF 9",2023-12-21,TOR,0.59,0.466010036921036,3,BUF,0.45,0.533989963078964,9,Won,0,1,0.0,1.0,1.0,1,2.2222222222222223
"2023-12-21 - WSH 3, CBJ 2",2023-12-21,WSH,0.53,0.5462683853280944,3,CBJ,0.51,0.4537316146719055,2,Lost,1,0,1.0,0.0,1.0,1,1.8867924528301885
"2023-12-21 - STL 4, FLA 1",2023-12-21,STL,,0.423717440883559,4,FLA,0.68,0.576282559116441,1,Lost,0,0,1.0,0.0,0.0,0,
"2023-12-21 - EDM 6, NJ 3",2023-12-21,EDM,0.52,0.4675951610306291,6,NJ,0.52,0.532404838969371,3,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-21 - NSH 4, PHI 2",2023-12-21,NSH,0.51,0.4883928125769953,4,PHI,0.53,0.5116071874230046,2,Lost,0,0,1.0,0.0,0.0,0,0.0
"2023-12-21 - CAR 1, PIT 2",2023-12-21,CAR,0.57,0.4882498728187885,1,PIT,0.48,0.5117501271812115,2,Won,0,1,0.0,1.0,1.0,1,2.0833333333333335
"2023-12-21 - VGK 4, TB 5",2023-12-21,VGK,0.51,0.4538370005410032,4,TB,0.53,0.5461629994589969,5,Won,0,1,0.0,1.0,1.0,1,1.8867924528301885
"2023-12-21 - VAN 3, DAL 4",2023-12-21,VAN,0.44,0.4855550207691096,3,DAL,0.61,0.5144449792308903,4,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-21 - MTL 3, MIN 4",2023-12-21,MTL,0.4,0.4426695303706268,3,MIN,0.65,0.5573304696293732,4,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-21 - OTT 4, COL 6",2023-12-21,OTT,0.41,0.4242552220119744,4,COL,0.64,0.5757447779880255,6,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-21 - CGY 3, ANA 0",2023-12-21,CGY,0.64,0.5,3,ANA,0.41,0.5,0,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-21 - ARI 5, SJ 2",2023-12-21,ARI,0.61,0.547113777172513,5,SJ,0.44,0.4528862228274869,2,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-22 - PHI 6, DET 7",2023-12-22,PHI,0.47,0.492489502249378,6,DET,0.57,0.507510497750622,7,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-22 - EDM 4, NYR 3",2023-12-22,EDM,0.47,0.455887044470344,4,NYR,0.58,0.544112955529656,3,Lost,0,0,1.0,0.0,0.0,0,0.0
"2023-12-22 - BOS 1, WPG 5",2023-12-22,BOS,0.56,0.4571909072587764,1,WPG,0.49,0.5428090927412235,5,Won,0,1,0.0,1.0,1.0,1,2.0408163265306123
"2023-12-22 - MTL 5, CHI 2",2023-12-22,MTL,0.51,0.5138073165025431,5,CHI,0.53,0.4861926834974568,2,Lost,1,0,1.0,0.0,1.0,1,1.9607843137254901
"2023-12-23 - VGK 2, FLA 4",2023-12-23,VGK,0.47,0.4288468068631209,2,FLA,0.57,0.5711531931368791,4,Won,0,1,0.0,1.0,1.0,1,1.7543859649122808
"2023-12-23 - DAL 3, NSH 2",2023-12-23,DAL,0.56,0.4673323828420328,3,NSH,0.48,0.5326676171579671,2,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-23 - NYI 5, CAR 4",2023-12-23,NYI,0.41,0.426564696651303,5,CAR,0.64,0.5734353033486971,4,Lost,1,0,1.0,0.0,1.0,1,2.4390243902439024
"2023-12-23 - TOR 4, CBJ 1",2023-12-23,TOR,0.69,0.4921306259531357,4,CBJ,0.36,0.5078693740468642,1,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-23 - BOS 2, MIN 3",2023-12-23,BOS,0.56,0.4493818457389628,2,MIN,0.48,0.5506181542610371,3,Won,0,1,0.0,1.0,1.0,1,2.0833333333333335
"2023-12-23 - DET 2, NJ 3",2023-12-23,DET,0.39,0.4008923777692055,2,NJ,0.65,0.5991076222307944,3,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-23 - PIT 4, OTT 5",2023-12-23,PIT,0.51,0.4592421013514282,4,OTT,0.53,0.5407578986485718,5,Won,0,1,0.0,1.0,1.0,1,1.8867924528301885
"2023-12-23 - TB 2, WSH 1",2023-12-23,TB,0.59,0.4724914873793099,2,WSH,0.45,0.52750851262069,1,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-23 - BUF 3, NYR 4",2023-12-23,BUF,0.41,0.4347985308807521,3,NYR,0.64,0.5652014691192481,4,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-23 - SEA 3, ANA 2",2023-12-23,SEA,0.58,0.5250468771568104,3,ANA,0.45,0.4749531228431896,2,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-23 - CHI 5, STL 7",2023-12-23,CHI,0.31,0.4308979817725822,5,STL,,0.5691020182274179,7,Won,1,0,0.0,1.0,0.0,1,
"2023-12-23 - ARI 1, COL 4",2023-12-23,ARI,0.36,0.436357142154115,1,COL,0.69,0.5636428578458847,4,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-23 - CGY 3, LA 5",2023-12-23,CGY,0.43,0.442473418380841,3,LA,0.61,0.5575265816191589,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-23 - SJ 4, VAN 7",2023-12-23,SJ,0.29,0.4056870324730091,4,VAN,0.75,0.5943129675269909,7,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-27 - CBJ 3, NJ 4",2023-12-27,CBJ,0.33,0.3728144661093753,3,NJ,0.71,0.6271855338906246,4,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-27 - WSH 1, NYR 5",2023-12-27,WSH,0.36,0.4586224351524176,1,NYR,0.69,0.5413775648475825,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-27 - FLA 3, TB 2",2023-12-27,FLA,0.52,0.5126523002431295,3,TB,0.52,0.4873476997568706,2,Lost,0,0,1.0,0.0,0.0,0,0.0
"2023-12-27 - OTT 4, TOR 2",2023-12-27,OTT,0.42,0.4247536224964812,4,TOR,0.62,0.5752463775035186,2,Lost,1,0,1.0,0.0,1.0,1,2.380952380952381
"2023-12-27 - BOS 4, BUF 1",2023-12-27,BOS,0.61,0.470572987952382,4,BUF,0.43,0.529427012047618,1,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-27 - PIT 7, NYI 0",2023-12-27,PIT,0.5,0.5287623657531184,7,NYI,0.55,0.4712376342468815,0,Lost,1,0,1.0,0.0,1.0,1,2.0
"2023-12-27 - DET 3, MIN 6",2023-12-27,DET,0.47,0.4367532431442467,3,MIN,0.57,0.5632467568557534,6,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-27 - CAR 5, NSH 2",2023-12-27,CAR,0.58,0.5486492951542753,5,NSH,0.47,0.4513507048457247,2,Lost,0,0,1.0,0.0,0.0,0,0.0
"2023-12-27 - DAL 1, STL 2",2023-12-27,DAL,0.62,0.4839516030283882,1,STL,,0.5160483969716118,2,Won,0,0,0.0,1.0,0.0,0,
"2023-12-27 - COL 4, ARI 5",2023-12-27,COL,0.62,0.4798772547788047,4,ARI,0.43,0.5201227452211952,5,Won,0,1,0.0,1.0,1.0,1,2.3255813953488373
"2023-12-27 - WPG 1, CHI 2",2023-12-27,WPG,0.69,0.5086023801370345,1,CHI,0.36,0.4913976198629654,2,Won,0,1,0.0,1.0,1.0,1,2.7777777777777777
"2023-12-27 - SEA 2, CGY 1",2023-12-27,SEA,0.44,0.5,2,CGY,0.6,0.5,1,Lost,1,0,1.0,0.0,1.0,1,2.272727272727273
"2023-12-27 - VGK 2, ANA 5",2023-12-27,VGK,0.69,0.4734040236922208,2,ANA,0.36,0.5265959763077791,5,Won,0,1,0.0,1.0,1.0,1,2.7777777777777777
"2023-12-27 - SJ 1, LA 5",2023-12-27,SJ,0.27,0.4323282168290026,1,LA,0.78,0.5676717831709975,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-28 - MTL 3, CAR 5",2023-12-28,MTL,0.31,0.4408113959431562,3,CAR,0.74,0.5591886040568437,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-28 - PHI 4, VAN 1",2023-12-28,PHI,0.43,0.4512748031803837,4,VAN,0.62,0.5487251968196163,1,Lost,1,0,1.0,0.0,1.0,1,2.3255813953488373
"2023-12-28 - LA 2, VGK 3",2023-12-28,LA,0.52,0.438759759360959,2,VGK,0.52,0.561240240639041,3,Won,0,1,0.0,1.0,1.0,1,1.923076923076923
"2023-12-28 - EDM 5, SJ 0",2023-12-28,EDM,0.8,0.5136041617292254,5,SJ,0.24,0.4863958382707745,0,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-29 - TOR 5, CBJ 6",2023-12-29,TOR,0.68,0.492205538058964,5,CBJ,0.37,0.5077944619410361,6,Won,0,1,0.0,1.0,1.0,1,2.7027027027027026
"2023-12-29 - TOR 5, CBJ 6",2023-12-29,TOR,0.68,0.492205538058964,5,CBJ,0.38,0.5077944619410361,6,Won,0,1,0.0,1.0,1.0,1,2.6315789473684212
"2023-12-29 - TOR 5, CBJ 6",2023-12-29,TOR,0.53,0.492205538058964,5,CBJ,0.37,0.5077944619410361,6,Won,0,1,0.0,1.0,1.0,1,2.7027027027027026
"2023-12-29 - TOR 5, CBJ 6",2023-12-29,TOR,0.53,0.492205538058964,5,CBJ,0.38,0.5077944619410361,6,Won,0,1,0.0,1.0,1.0,1,2.6315789473684212
"2023-12-29 - NSH 4, DET 5",2023-12-29,NSH,0.51,0.5233246202376759,4,DET,0.53,0.4766753797623242,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-29 - NSH 4, DET 5",2023-12-29,NSH,0.51,0.5233246202376759,4,DET,0.53,0.4766753797623242,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-29 - NYR 3, FLA 4",2023-12-29,NYR,0.45,0.4432670223885603,3,FLA,0.59,0.5567329776114395,4,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-29 - NYR 3, FLA 4",2023-12-29,NYR,0.45,0.4432670223885603,3,FLA,0.71,0.5567329776114395,4,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-29 - NYR 3, FLA 4",2023-12-29,NYR,0.51,0.4432670223885603,3,FLA,0.59,0.5567329776114395,4,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-29 - NYR 3, FLA 4",2023-12-29,NYR,0.51,0.4432670223885603,3,FLA,0.71,0.5567329776114395,4,Won,0,0,0.0,1.0,0.0,0,0.0
